Класс,Дисциплина,Блок дисциплин,Библиографическая ссылка
1,лч,филологический блок,"Литературное чтение. 1 класс : учебник для общеобразовательных организаций : в 2 ч. / Л. Ф. Климанова, В. Г. Горецкий, М. В. Голованова [и др.]. — 7-е изд. — Москва : Просвещение, 2017"
1,математика,математический блок,"Математика. 1 класс : учебник для общеобразовательных организаций : в 2 ч. Ч. 1 / М. И. Моро, С. И. Волкова, С. В. Степанова. — 8-е изд. — Москва : Просвещение, 2019."
1,окр,естественно-научный блок,"Плешаков А. А. Окружающий мир. 1 класс : учебник для общеобразовательных организаций с приложением на электронном носителе : в 2 ч. Ч. 1 / А. А. Плешаков. — 5-е изд. — Москва : Просвещение, 2018."
1,русский язык,филологический блок,"Канакина В. П. Русский язык. 1 класс : учебник для общеобразовательных организаций с приложением на электронном носителе / В. П. Канакина, В. Г. Горецкий. — 6-е изд. — Москва : Просвещение, 2018. — 143 с. : ил."
2,лч,филологический блок,"Литературное чтение. 2 класс : учебник для общеобразовательных организаций : в 2 ч. / Л. Ф. Климанова, Л. А. Виноградская, В. Г. Горецкий. — 7-е изд. — Москва : Просвещение, 2017."
2,математика,математический блок,"Математика. 2 класс : учебник для общеобразовательных организаций с приложением на электронном носителе : в 2 ч. Ч. 1 / М. И. Моро, М. А. Бантова, Г. В. Бельтюкова [и др.]. — 5-е изд. — Москва : Просвещение, 2018. — 96 с. : ил."
2,окр,естественно-научный блок,"Плешаков А. А. Окружающий мир. 2 класс : учебник для общеобразовательных организаций с приложением на электронном носителе : в 2 ч. Ч. 1 / А. А. Плешаков. — 6-е изд. — Москва : Просвещение, 2018."
2,русский язык,филологический блок,"Канакина В. П. Русский язык. 2 класс : учебник для общеобразовательных организаций с приложением на электронном носителе : в 2 ч. Ч. 1 / В. П. Канакина, В. Г. Горецкий. — 6-е изд. — Москва : Просвещение, 2018. — 144 с. : ил."
3,лч,филологический блок,"Литературное чтение. 3 класс : учебник для общеобразовательных организаций : в 2 ч. Ч. 1 / Л. Ф. Климанова, В. Г. Горецкий, М. В. Голованова [и др.]. — 6-е изд. — Москва : Просвещение, 2018. — 223 с. : ил."
3,математика,математический блок,"Математика. 3 класс : учебник для общеобразовательных организаций : в 2 ч. Ч. 1 / М. И. Моро, М. А. Бантова, Г. В. Бельтюкова [и др.]. — 6-е изд. — Москва : Просвещение, 2019. — 112 с. : ил."
3,окр,естественно-научный блок,"Плешаков А. А. Окружающий мир. 3 класс : учебник для общеобразовательных организаций : в 2 ч. Ч. 1 / А. А. Плешаков. — 6-е изд. — Москва : Просвещение, 2018."
3,русский язык,филологический блок,"Канакина В. П. Русский язык. 3 класс : учебник для общеобразовательных организаций : в 2 ч. Ч. 1 / В. П. Канакина, В. Г. Горецкий. — 6-е изд. — Москва : Просвещение, 2018."
4,лч,филологический блок,"Литературное чтение. 4 класс : учебник для общеобразовательных организаций : в 2 ч. Ч. 1 / Л. Ф. Климанова, В. Г. Горецкий, М. В. Голованова [и др.]. — 5-е изд. — Москва : Просвещение, 2019. — 223 с. : ил."
4,математика,математический блок,"Математика. 4 класс : учебник для общеобразовательных организаций : в 2 ч. Ч. 1 / М. И. Моро, М. А. Бантова, Г. В. Бельтюкова [и др.]. — 5-е изд. — Москва : Просвещение, 2019. — 112 с."
4,окр,естественно-научный блок,"Плешаков А. А. Окружающий мир. 4 класс : учебник для общеобразовательных организаций : в 2 ч. Ч. 1 / А. А. Плешаков. — 6-е изд. — Москва : Просвещение, 2018."
4,русский язык,филологический блок,"Канакина В. П. Русский язык. 4 класс : учебник для общеобразовательных организаций : в 2 ч. Ч. 1 / В. П. Канакина, В. Г. Горецкий. — 9-е изд. — Москва : Просвещение, 2019."
5,биология,естественно-научный блок,"Биология: 5-й класс базовый уровень: учебник / В. В. Пасечник, С. В. Суматохин, З. Г. Гапонюк, Г. Г. Швецов; под ред. В. В. Пасечника. — Москва: Просвещение, 2023. — 160 с.: ил. — (Линия жизни)."
5,история,социальный блок,"История. Всеобщая история. История Древнего мира. 5 класс : учебник / В. Р. Мединский, А. О. Чубарьян. — Москва : Просвещение, 2026. — 304 с. — ISBN 978-5-09-134754-8."
5,литература,филологический блок,"Литература. 5 класс : учебник для общеобразовательных организаций с приложением на электронном носителе : в 2 ч. Ч. 1 / В. Я. Коровина, В. П. Журавлев, В. И. Коровин ; под ред. В. Я. Коровиной. — 5-е изд. — Москва : Просвещение, 2016."
5,математика,математический блок,"Математика. 5 класс : учебник : в 2 частях / Н. Я. Виленкин, В.И. Жохов, А. С. Чесноков [и др.]. — Москва : Просвещение, 2021"
5,русский язык,филологический блок,"Русский язык. 5 класс : учебник для общеобразовательных организаций : в 2 ч. / Т. А. Ладыженская, М. Т. Баранов, Л. А. Тростенцова [и др.] ; науч. ред. Н. М. Шанский. — Москва : Просвещение, 2019."
6,биология,естественно-научный блок,"Биология. 6-й класс. Базовый уровень: учебник / В. В. Пасечник, С. В. Суматохин, З. Г. Гапонюк, Г. Г. Швецов; под ред. В. В. Пасечника. — Москва: Просвещение, 2023. — 160 с. ил. — (Линия жизни). ISBN 978-5-09-102243-8."
6,география,естественно-научный блок,"География. 5—6 классы : учеб, для общеобразоват. учреждений / [А. И. Алексеев, Е. К. Липкина, В. В. Николина и др.];
Г35 под ред. А. И. Алексеева; Рос. акад, наук, Рос. акад, образования, издво «Просвещение». — М. : Просвещение, 2012. — 192 с. : ил., карт. —
(Академический школьный учебник) (Полярная звезда)."
6,история,социальный блок,"История. История России. IX — начало XVI в. 6 класс : учебник / В. Р. Мединский, А. В. Торкунов. — 2-е изд., стер. — Москва : Просвещение, 2026. — 239 с. — ISBN 978-5-09-134759-3."
6,история,социальный блок,"История. Всеобщая история. История Средних веков. 6 класс : учебник / В. Р. Мединский, А. О. Чубарьян. — Москва : Просвещение, 2026. — 256 с. — ISBN 978-5-09-134755-5."
6,литература,филологический блок,"Литература. 6 класс : учебник для общеобразовательных организаций : в 2 ч. / В. П. Полухина, В. Я. Коровина, В. П. Журавлев, В. И. Коровин ; под ред. В. Я. Коровиной. — Москва : Просвещение, 2017."
6,математика,математический блок,"Математика. 6 класс : учебник для общеобразовательных организаций : в 2 ч. Ч. 1 / Н. Я. Виленкин, В. И. Жохов, Л. С. Чесноков, С. И. Шварцбурд. — 37-е изд., стер. — Москва : Мнемозина, 2019. — 168 с."
6,обществознание,социальный блок,"Обществознание. 6 класс : учеб, для общеобразоват. учреж0-28 депий / [Н. Ф. Виноградова, Н. И. Городецкая, Л. Ф. Иванова
и др.] ; под ред. Л. II. Боголюбова, Л. Ф. Ивановой ; Рос. акад,
наук, Рос. акад, образования, изд-во «Просвещение». — М. :
Просвещение, 2012. — 111 с. : ил. — (Академический школьный учебник). "
6,русский язык,филологический блок,"Русский язык. 6 класс. Учеб, для общеобразоват. организаций. В 2 ч. Ч. 1 / [М. Т. Баранов, Т. А. Ладыженская, Л. А. Тростенцова и др.; науч. ред. Н. М. Шанский]. — 5-е изд. — М. : Просвещение, 2015. — 191 с. : ил.; Русский язык. 6 класс. Учебник для общеобразоват. организаций. В 2 ч. Ч. 2 / [М. Т. Баранов, Т. А. Ладыженская, Л. А. Тростенцова и др.; науч. ред. Н. М. Шанский]. — 5-е изд. — М. : Просвещение, 2015. — 175 с. : ил."
7,биология,естественно-научный блок,"Биология: 7-й класс: базовый уровень: учебник / В. В. Пасечник, С. В. Суматохин, З. Г. Гапонюк, Г. Г. Швецов; под ред. В. В. Пасечника. — Москва: Просвещение, 2023. — 176 с.: ил. — (Линия жизни). ISBN 978-5-09-102244-5."
7,география,естественно-научный блок,"География. 7 класс : учебник для общеобразовательных организаций / А. И. Алексеев, В. В. Николина, Е. К. Липкина и др. — Москва : Просвещение, 2015. — 256 с. : ил., карт. — (Полярная звезда)."
7,история,социальный блок,"История. История России. XVI—XVII вв. 7 класс : учебник / В. Р. Мединский, А. В. Торкунов. — Москва : Просвещение, 2026. — 272 с. — ISBN 978-5-09-134760-9."
7,история,социальный блок,"История. Всеобщая история. История Нового времени. Конец XV — XVII в. 7 класс : учебник / В. Р. Мединский, А. О. Чубарьян. — Москва : Просвещение, 2026. — 240 с. — ISBN 978-5-09-134756-2."
7,литература,филологический блок,"Литература. 7 класс : учебник для общеобразовательных организаций : в 2 ч. / В. Я. Коровина, В. П. Журавлев, В. И. Коровин ; под ред. В. Я. Коровиной. — 6-е изд. — Москва : Просвещение, 2017."
7,математика,математический блок,"Алгебра. 7 класс : учебник для общеобразовательных организаций : базовый уровень / Ю. Н. Макарычев, Н. Г. Миндюк, К. И. Нешков, С. Б. Суворова ; под ред. С. А. Теляковского. — 15-е изд., перераб. — Москва : Просвещение, 2023. — 255, [1] с. : ил."
7,обществознание,социальный блок,"Обществознание. 7 класс : учебник для общеобразовательных организаций / Л. Н. Боголюбов, Л. Ф. Иванова, Н. И. Городецкая и др. — Москва : Просвещение, 2023."
7,русский язык,филологический блок,"Русский язык. 7 класс. Учеб, для общеобразоват. организаций. В 2 ч. Ч. 1 / [М. Т. Баранов и др.] — 3-е изд. — М. : Просвещение, 2021. — 176 с. : [4] л. ил. : ил.; Русский язык. 7 класс. Учеб, для общеобразоват. организаций. В 2 ч. Ч. 2 / [М. Т. Баранов и др.]. — М. : Просвещение, 2019. — 143 с. : [2] л. ил. : ил."
7,физика,естественно-научный блок,"Физика. 7 класс : учебник для общеобразовательных организаций / А. В. Перышкин. — 11-е изд., стереотип. — Москва : Дрофа, 2019. — 224 с. : ил."
8,биология,естественно-научный блок,"Биология : 8-й класс : базовый уровень : учебник / В. В. Пасечник, С. В. Суматохин, З. Г. Гапонюк ; под ред. В. В. Пасечника. — Москва: Просвещение, 2023. — 272 с. ил. — (Линия жизни)."
